fid,DN
"1,""4"""
"2,""3"""
"3,""3"""
"4,""4"""
"5,""4"""
"6,""2"""
"7,""3"""
"8,""4"""
"9,""2"""
"10,""2"""
"11,""3"""
"12,""4"""
"13,""2"""
"14,""4"""
"15,""2"""
"16,""2"""
"17,""3"""
"18,""2"""
"19,""4"""
"20,""3"""
"21,""2"""
"22,""4"""
"23,""3"""
"24,""3"""
"25,""2"""
"26,""3"""
"27,""4"""
"28,""3"""
"29,""2"""
"30,""4"""
"31,""2"""
"32,""3"""
"33,""3"""
"34,""4"""
"35,""2"""
"36,""3"""
"37,""2"""
"38,""4"""
"39,""2"""
"40,""2"""
"41,""3"""
"42,""4"""
"43,""4"""
"44,""4"""
"45,""3"""
"46,""3"""
"47,""2"""
"48,""3"""
"49,""2"""
"50,""4"""
"51,""2"""
"52,""2"""
"53,""4"""
"54,""4"""
"55,""2"""
"56,""3"""
"57,""2"""
"58,""2"""
"59,""2"""
"60,""4"""
"61,""3"""
"62,""3"""
"63,""2"""
"64,""3"""
"65,""3"""
"66,""3"""
"67,""2"""
"68,""4"""
"69,""2"""
"70,""4"""
"71,""4"""
"72,""2"""
"73,""3"""
"74,""4"""
"75,""4"""
"76,""4"""
"77,""3"""
"78,""3"""
"79,""3"""
"80,""3"""
"81,""4"""
"82,""3"""
"83,""2"""
"84,""4"""
"85,""2"""
"86,""2"""
"87,""2"""
"88,""3"""
"89,""3"""
"90,""2"""
"91,""2"""
"92,""3"""
"93,""4"""
"94,""4"""
"95,""3"""
"96,""3"""
"97,""3"""
"98,""3"""
"99,""2"""
"100,""2"""
"101,""2"""
"102,""2"""
"103,""2"""
"104,""4"""
"105,""2"""
"106,""4"""
"107,""4"""
"108,""3"""
"109,""3"""
"110,""2"""
"111,""4"""
"112,""3"""
"113,""2"""
"114,""4"""
"115,""4"""
"116,""3"""
"117,""4"""
"118,""2"""
"119,""2"""
"120,""2"""
"121,""2"""
"122,""3"""
"123,""3"""
"124,""4"""
"125,""2"""
"126,""2"""
"127,""2"""
"128,""4"""
"129,""4"""
"130,""3"""
"131,""2"""
"132,""3"""
"133,""4"""
"134,""2"""
"135,""4"""
"136,""4"""
"137,""4"""
"138,""3"""
"139,""3"""
"140,""3"""
"141,""4"""
"142,""2"""
"143,""4"""
"144,""3"""
"145,""2"""
"146,""2"""
"147,""2"""
"148,""3"""
"149,""4"""
"150,""2"""
"151,""3"""
"152,""4"""
"153,""2"""
"154,""3"""
"155,""2"""
"156,""2"""
"157,""4"""
"158,""2"""
"159,""3"""
"160,""4"""
"161,""2"""
"162,""3"""
"163,""2"""
"164,""4"""
"165,""2"""
"166,""3"""
"167,""2"""
"168,""3"""
"169,""3"""
"170,""4"""
"171,""3"""
"172,""2"""
"173,""2"""
"174,""4"""
"175,""4"""
"176,""3"""
"177,""2"""
"178,""4"""
"179,""2"""
"180,""2"""
"181,""3"""
"182,""2"""
"183,""3"""
"184,""3"""
"185,""4"""
"186,""4"""
"187,""4"""
"188,""4"""
"189,""2"""
"190,""2"""
"191,""3"""
"192,""4"""
"193,""3"""
"194,""2"""
"195,""3"""
"196,""2"""
"197,""4"""
"198,""3"""
"199,""3"""
"200,""2"""
"201,""2"""
"202,""4"""
"203,""2"""
"204,""4"""
"205,""4"""
"206,""2"""
"207,""3"""
"208,""3"""
"209,""3"""
"210,""2"""
"211,""2"""
"212,""4"""
"213,""4"""
"214,""3"""
"215,""3"""
"216,""2"""
"217,""2"""
"218,""2"""
"219,""2"""
"220,""4"""
"221,""4"""
"222,""4"""
"223,""4"""
"224,""2"""
"225,""2"""
"226,""2"""
"227,""2"""
"228,""2"""
"229,""2"""
"230,""2"""
"231,""3"""
"232,""2"""
"233,""3"""
"234,""2"""
"235,""2"""
"236,""2"""
"237,""4"""
"238,""2"""
"239,""3"""
"240,""2"""
"241,""2"""
"242,""3"""
"243,""3"""
"244,""2"""
"245,""3"""
"246,""2"""
"247,""4"""
"248,""3"""
"249,""3"""
"250,""2"""
"251,""2"""
"252,""3"""
"253,""4"""
"254,""2"""
"255,""4"""
"256,""4"""
"257,""2"""
"258,""2"""
"259,""3"""
"260,""3"""
"261,""4"""
"262,""2"""
"263,""4"""
"264,""2"""
"265,""3"""
"266,""3"""
"267,""2"""
"268,""2"""
"269,""3"""
"270,""2"""
"271,""2"""
"272,""4"""
"273,""4"""
"274,""4"""
"275,""3"""
"276,""3"""
"277,""3"""
"278,""2"""
"279,""4"""
"280,""3"""
"281,""4"""
"282,""3"""
"283,""3"""
"284,""2"""
"285,""3"""
"286,""4"""
"287,""3"""
"288,""4"""
"289,""3"""
"290,""2"""
"291,""2"""
"292,""2"""
"293,""2"""
"294,""2"""
"295,""4"""
"296,""2"""
"297,""2"""
"298,""3"""
"299,""4"""
"300,""3"""
"301,""2"""
"302,""2"""
"303,""4"""
"304,""2"""
"305,""4"""
"306,""2"""
"307,""4"""
"308,""2"""
"309,""3"""
"310,""3"""
"311,""2"""
"312,""3"""
"313,""3"""
"314,""4"""
"315,""3"""
"316,""2"""
"317,""4"""
"318,""3"""
"319,""3"""
"320,""2"""
"321,""3"""
"322,""2"""
"323,""3"""
"324,""4"""
"325,""3"""
"326,""2"""
"327,""3"""
"328,""4"""
"329,""2"""
"330,""4"""
"331,""2"""
"332,""4"""
"333,""2"""
"334,""3"""
"335,""3"""
"336,""4"""
"337,""3"""
"338,""2"""
"339,""2"""
"340,""4"""
"341,""3"""
"342,""3"""
"343,""3"""
"344,""4"""
"345,""2"""
"346,""4"""
"347,""3"""
"348,""3"""
"349,""2"""
"350,""4"""
"351,""4"""
"352,""2"""
"353,""4"""
"354,""2"""
"355,""4"""
"356,""4"""
"357,""3"""
"358,""4"""
"359,""4"""
"360,""2"""
"361,""2"""
"362,""2"""
"363,""2"""
"364,""2"""
"365,""2"""
"366,""2"""
"367,""2"""
"368,""2"""
"369,""2"""
"370,""3"""
"371,""2"""
"372,""3"""
"373,""2"""
"374,""4"""
"375,""4"""
"376,""2"""
"377,""2"""
"378,""3"""
"379,""3"""
"380,""3"""
"381,""2"""
"382,""2"""
"383,""3"""
"384,""3"""
"385,""4"""
"386,""4"""
"387,""3"""
"388,""4"""
"389,""3"""
"390,""2"""
"391,""2"""
"392,""2"""
"393,""4"""
"394,""2"""
"395,""2"""
"396,""3"""
"397,""3"""
"398,""2"""
"399,""2"""
"400,""4"""
"401,""2"""
"402,""4"""
"403,""3"""
"404,""3"""
"405,""4"""
"406,""3"""
"407,""3"""
"408,""4"""
"409,""2"""
"410,""4"""
"411,""3"""
"412,""4"""
"413,""3"""
"414,""3"""
"415,""2"""
"416,""4"""
"417,""4"""
"418,""2"""
"419,""2"""
"420,""4"""
"421,""2"""
"422,""4"""
"423,""2"""
"424,""3"""
"425,""2"""
"426,""2"""
"427,""2"""
"428,""2"""
"429,""3"""
"430,""3"""
"431,""2"""
"432,""4"""
"433,""2"""
"434,""3"""
"435,""3"""
"436,""3"""
"437,""2"""
"438,""4"""
"439,""2"""
"440,""3"""
"441,""2"""
"442,""2"""
"443,""2"""
"444,""2"""
"445,""4"""
"446,""3"""
